hodges_list,p_no,preferred_name,date,verbatim_name
1764B,59a0673.2,Aristotelia sp. 2,2010-09-02,Aristotelia ?adenostomae Keif. [sp. 2]
1764B,59a0673.2,Aristotelia sp. 2,2010-09-20,Aristotelia ?adenostomae Keif. [sp. 2]
1764B,59a0673.2,Aristotelia sp. 2,2010-11-02,Aristotelia ?adenostomae Keif. [sp. 2]
1764B,59a0673.2,Aristotelia sp. 2,2010-11-16,Aristotelia ?adenostomae Keif. [sp. 2]
1730,59a0643,Aristotelia argentifera Busck,2010-05-31,Aristotelia argentifera Bsk. [sp. 8]
1730,59a0643,Aristotelia argentifera Busck,2010-06-14,Aristotelia argentifera Bsk. [sp. 8]
1730,59a0643,Aristotelia argentifera Busck,2010-08-19,Aristotelia argentifera Bsk. [sp. 8]
1730,59a0643,Aristotelia argentifera Busck,2010-09-02,Aristotelia argentifera Bsk. [sp. 8]
1742.1,NA,Aristotelia sp. nr. isopelta [sp. 9],2010-05-13,Aristotelia sp. nr. isopelta [sp. 9]
1742.1,NA,Aristotelia sp. nr. isopelta [sp. 9],2010-11-02,Aristotelia sp. nr. isopelta [sp. 9]
1764G,NA,Aristotelia sp. 7 (on Rhus),2010-06-24,Aristotelia sp. 7
1764G,NA,Aristotelia sp. 7 (on Rhus),2010-07-29,Aristotelia sp. 7
1769,59a1170.6,Agnippe laudatella (Walsingham),2010-07-29,Agnippe laudatella (Wlsm.)
1769,59a1170.6,Agnippe laudatella (Walsingham),2010-09-02,Agnippe laudatella (Wlsm.)
1769,59a1170.6,Agnippe laudatella (Walsingham),2010-09-20,Agnippe laudatella (Wlsm.)
1786X,59a0704.9,Recurvaria n. sp.,2010-07-29,"Recurvaria ""glinax"" Hodges MS."
1786X,59a0704.9,Recurvaria n. sp.,2010-08-19,"Recurvaria ""glinax"" Hodges MS."
1786X,59a0704.9,Recurvaria n. sp.,2010-09-02,"Recurvaria ""glinax"" Hodges MS."
1786X,59a0704.9,Recurvaria n. sp.,2010-09-20,"Recurvaria ""glinax"" Hodges MS."
1838,59a0705.85,"""Exoteleia"" graphicella (Busck)",2010-05-31,Exoteleia graphicella (Busck)
NA,NA,Leucogoniella californica or distincta,2010-05-13,Leucogoniella (unident.)
NA,NA,Leucogoniella californica or distincta,2010-06-24,Leucogoniella (unident.)
NA,NA,Leucogoniella californica or distincta,2010-07-29,Leucogoniella (unident.)
NA,NA,Leucogoniella californica or distincta,2010-08-19,Leucogoniella (unident.)
NA,NA,Leucogoniella californica or distincta,2010-09-02,Leucogoniella (unident.)
NA,NA,Leucogoniella californica or distincta,2010-09-20,Leucogoniella (unident.)
NA,NA,Leucogoniella californica or distincta,2010-10-06,Leucogoniella (unident.)
1859,59a0691.9,Telphusa sedulitella (Busck),2010-04-07,Telphusa sedulitella (Bsk.)
1879,59a0792,Xenolechia querciphaga Keifer and/or similar species,2010-05-13,Xenolechia sp./spp.
1879,59a0792,Xenolechia querciphaga Keifer and/or similar species,2010-05-31,Xenolechia sp./spp.
1879,59a0792,Xenolechia querciphaga Keifer and/or similar species,2010-06-14,Xenolechia sp./spp.
1879,59a0792,Xenolechia querciphaga Keifer and/or similar species,2010-06-24,Xenolechia sp./spp.
1882,59a0787.8,Teleiopsis baldiana (Barnes & Busck),2010-06-14,Teleiopsis baldiana (B. & Bsk.)
1923.1,59a0686,Bryotropha hodgesi Rutten & Karsholt,2010-06-14,Bryotropha hodgesi Rutten & Karsholt
1923.1,59a0686,Bryotropha hodgesi Rutten & Karsholt,2010-07-29,Bryotropha hodgesi Rutten & Karsholt
1923.1,59a0686,Bryotropha hodgesi Rutten & Karsholt,2010-09-02,Bryotropha hodgesi Rutten & Karsholt
2017,59a1284,Scrobipalpula lutescella (Clarke),2010-09-20,Scrobipalpulopsis lutescella (Clarke)
2017,59a1284,Scrobipalpula lutescella (Clarke),2010-10-06,Scrobipalpulopsis lutescella (Clarke)
2065,59a1070,Chionodes braunella (Keifer),2010-05-31,Chionodes braunella (Keifer)
2065,59a1070,Chionodes braunella (Keifer),2010-06-14,Chionodes braunella (Keifer)
2065,59a1070,Chionodes braunella (Keifer),2010-07-29,Chionodes braunella (Keifer)
2065,59a1070,Chionodes braunella (Keifer),2010-09-02,Chionodes braunella (Keifer)
2065,59a1070,Chionodes braunella (Keifer),2010-09-20,Chionodes braunella (Keifer)
2065,59a1070,Chionodes braunella (Keifer),2010-10-06,Chionodes braunella (Keifer)
2109.1,59a0888,Chionodes powelli Hodges,2010-08-19,Chionodes powelli Hodges
2109.1,59a0888,Chionodes powelli Hodges,2010-09-02,Chionodes powelli Hodges
