hodges_list,p_no,preferred_name,date,verbatim_name
102A,NA,Stigmella sp. 1 (tan) (=Davis sp. 3?),1989-08-28,Stigmella sp. (pale tan)
275.10000000000002,300121.1,Nemapogon sp. 1,1989-07-15,Nemapogon sp. nr. arcella
275.10000000000002,300121.1,Nemapogon sp. 1,1989-08-02,Nemapogon sp. nr. arcella
275.10000000000002,300121.1,Nemapogon sp. 1,1989-08-28,Nemapogon sp. nr. arcella
321,300216,Hypoplesia dietziella Busck,1989-07-15,Hypoplesia dietziella Busck (?)
329.1,NA,Amydria n. sp.,1989-08-02,Amydria californica Davis (MS)
329.1,NA,Amydria n. sp.,1989-09-15,Amydria californica Davis (MS)
331,300043,Amydria confusella Dietz,1989-07-01,Ptilopsalta confusella (Dietz)
331,300043,Amydria confusella Dietz,1989-07-15,Ptilopsalta confusella (Dietz)
331,300043,Amydria confusella Dietz,1989-08-28,Ptilopsalta confusella (Dietz)
337.1,300103.1,Acrolophid n. gen. (nr. Amydria) n. sp.,1989-08-02,"Acrolophid n. gen., n. sp."
359,300079,Acrolophus laticapitana (Walsingham),1989-06-16,Acrolophus laticapitanus (Wlsm.)
359,300079,Acrolophus laticapitana (Walsingham),1989-07-01,Acrolophus laticapitanus (Wlsm.)
359,300079,Acrolophus laticapitana (Walsingham),1989-07-15,Acrolophus laticapitanus (Wlsm.)
359,300079,Acrolophus laticapitana (Walsingham),1989-08-02,Acrolophus laticapitanus (Wlsm.)
403,300155,Tinea occidentella Chambers,1989-05-01,Tinea occidentella Cham.
466,36a0002,Bedellia somnulentella (Zeller),1989-08-28,Bedellia somnulentella (Zell.)
466,36a0002,Bedellia somnulentella (Zeller),1989-09-15,Bedellia somnulentella (Zell.)
581B,NA,Bucculatrix sp. 1 (white w/ocher bands),1989-05-01,Bucculatrix sp. 1 (white w/ocher bands)
550,33a0070,Buccuclatrix albertiella Busck or similar species,1989-08-28,Bucculatix sp. 2 (albertiella?)
NA,NA,Bucculatrix separabilis Braun or similar species,1989-08-28,Bucculatrix sp. 3 (dull white w/ brown apex)
630B,33a0214.1,Caloptilia sp./spp. B,1989-07-15,Caloptilia rhoifoliella (Chambers)
630B,33a0214.1,Caloptilia sp./spp. B,1989-08-02,Caloptilia rhoifoliella (Chambers)
841,33a0273,Cameraria wislizeniella Opler,1989-07-15,Cameraria sp.
841,33a0273,Cameraria wislizeniella Opler,1989-08-28,Cameraria sp.
871,59a0083,Agonopterix chrautis Hodges,1989-05-31,Agonopterix chrautis Hodges
896,59a0109,Agonopterix posticella (Walsingham),1989-07-15,Agonopterix posticella (Wlsm.)
979,59a0186,Ethmia arctostaphylella (Walsingham),1989-05-01,Ethmia arctostaphylella (Wlsm.)
979,59a0186,Ethmia arctostaphylella (Walsingham),1989-05-31,Ethmia arctostaphylella (Wlsm.)
979,59a0186,Ethmia arctostaphylella (Walsingham),1989-06-16,Ethmia arctostaphylella (Wlsm.)
979,59a0186,Ethmia arctostaphylella (Walsingham),1989-07-01,Ethmia arctostaphylella (Wlsm.)
979,59a0186,Ethmia arctostaphylella (Walsingham),1989-08-02,Ethmia arctostaphylella (Wlsm.)
979,59a0186,Ethmia arctostaphylella (Walsingham),1989-08-28,Ethmia arctostaphylella (Wlsm.)
980,59a0187,Ethmia discostrigella (Chambers),1989-04-12,Ethmia discostrigella (Cham.)
980,59a0187,Ethmia discostrigella (Chambers),1989-05-31,Ethmia discostrigella (Cham.)
980,59a0187,Ethmia discostrigella (Chambers),1989-07-01,Ethmia discostrigella (Cham.)
980,59a0187,Ethmia discostrigella (Chambers),1989-07-15,Ethmia discostrigella (Cham.)
980,59a0187,Ethmia discostrigella (Chambers),1989-08-02,Ethmia discostrigella (Cham.)
980,59a0187,Ethmia discostrigella (Chambers),1989-08-28,Ethmia discostrigella (Cham.)
980,59a0187,Ethmia discostrigella (Chambers),1989-09-15,Ethmia discostrigella (Cham.)
1045,59a0040,Decantha stonda Hodges,1989-05-31,Decantha stonda Hodges
1061,59a0057,Borkhausenia nefrax Hodges,1989-06-16,Borkhausenia nefrax Hodges
1061,59a0057,Borkhausenia nefrax Hodges,1989-07-01,Borkhausenia nefrax Hodges
1061,59a0057,Borkhausenia nefrax Hodges,1989-07-15,Borkhausenia nefrax Hodges
1061,59a0057,Borkhausenia nefrax Hodges,1989-08-28,Borkhausenia nefrax Hodges
1061,59a0057,Borkhausenia nefrax Hodges,1989-10-18,Borkhausenia nefrax Hodges
NA,NA,Coelopoeta glutonosi Walsingham or similar species,1989-05-31,Coelopoeta glutonosi Walsingham or C. phaceliae Kaila (unident.)
NA,NA,Coelopoeta glutonosi Walsingham or similar species,1989-07-01,Coelopoeta phaceliae (Kaila)
1123A,59a1499.3,"Elachista sp. 1 (cream, 2 dk. brn spots)",1989-05-01,"Elachista sp. 1 (small, white)"
1133,59a0006,Symmoca signatella (Herrich-Schäffer),1989-05-31,Symmoca signatella (H.-S.)
1225A,NA,Blastobasid sp. #1,1989-05-01,Blastobasid sp. #1
1225A,NA,Blastobasid sp. #1,1989-05-31,Blastobasid sp. #1
1225A,NA,Blastobasid sp. #1,1989-08-28,Blastobasid sp. #1
1225A,NA,Blastobasid sp. #1,1989-09-15,Blastobasid sp. #1
1225A,NA,Blastobasid sp. #1,1989-10-01,Blastobasid sp. #1
1225A,NA,Blastobasid sp. #1,1989-10-18,Blastobasid sp. #1
1225B,NA,Blastobasid sp. #2,1989-05-01,Blastobasid sp. #2
1225B,NA,Blastobasid sp. #2,1989-05-31,Blastobasid sp. #2
1225B,NA,Blastobasid sp. #2,1989-06-16,Blastobasid sp. #2
1225B,NA,Blastobasid sp. #2,1989-07-01,Blastobasid sp. #2
1225B,NA,Blastobasid sp. #2,1989-10-18,Blastobasid sp. #2
1162,59a1766,Blastobasis glandulella (Riley),1989-05-31,Blastobasid sp. #3
1225D,NA,Blastobasid sp. #4,1989-05-31,Blastobasid sp. #4
1225D,NA,Blastobasid sp. #4,1989-07-01,Blastobasid sp. #4
1225D,NA,Blastobasid sp. #4,1989-07-15,Blastobasid sp. #4
1225D,NA,Blastobasid sp. #4,1989-10-01,Blastobasid sp. #4
1289,59a1510.1,Coleophora accordella Walsingham,1989-07-15,Coleophora accordella Wlsm.
1259,59a1561.1,Coleophora discostriata Walsingham,1989-08-28,Coleophora sp. 2 (white w/black streaks)
1458A,NA,Mompha sp. #1 (blk w/wh. bands),1989-07-01,Mompha sp. #1
1510,59a0394,Eteobalea iridella (Busck),1989-07-15,Stagmatophora iridella Busck
1510,59a0394,Eteobalea iridella (Busck),1989-08-02,Stagmatophora iridella Busck
1510,59a0394,Eteobalea iridella (Busck),1989-08-28,Stagmatophora iridella Busck
1532,59a0418,Anoncia fasciata (Walsingham),1989-05-31,Anoncia fasciata (Walsingham)
1550,59a0436,Anoncia orites (Walsingham),1989-07-01,Anoncia orites Hodges
1557,59a0443,Anoncia mosa Hodges,1989-05-01,Anoncia mosa Hodges
1671X,NA,Scythris sp. (nr. pyratica),1989-08-28,Scythris sp. (nr. pyratica)
1764B,59a0673.2,Aristotelia sp. 2,1989-07-15,Aristotelia adenostomae Keif.[sp. 2]
1764B,59a0673.2,Aristotelia sp. 2,1989-08-02,Aristotelia adenostomae Keif.[sp. 2]
1764B,59a0673.2,Aristotelia sp. 2,1989-08-28,Aristotelia adenostomae Keif.[sp. 2]
1764B,59a0673.2,Aristotelia sp. 2,1989-10-01,Aristotelia adenostomae Keif.[sp. 2]
1764B,59a0673.2,Aristotelia sp. 2,1989-10-18,Aristotelia adenostomae Keif.[sp. 2]
1742.1,NA,Aristotelia sp. nr. isopelta [sp. 9],1989-07-15,Aristotelia sp. mr. isopelta [sp. 9]
1742.1,NA,Aristotelia sp. nr. isopelta [sp. 9],1989-08-02,Aristotelia sp. mr. isopelta [sp. 9]
1764D,59a0673.4,Aristotelia sp. 4,1989-07-15,Aristotelia urbaurea Keif. [sp. 4]
1764D,59a0673.4,Aristotelia sp. 4,1989-08-02,Aristotelia urbaurea Keif. [sp. 4]
1764G,NA,Aristotelia sp. 7 (on Rhus),1989-07-01,Aristotelia sp. 7
1764G,NA,Aristotelia sp. 7 (on Rhus),1989-07-15,Aristotelia sp. 7
1764G,NA,Aristotelia sp. 7 (on Rhus),1989-08-02,Aristotelia sp. 7
1769,59a1170.6,Agnippe laudatella (Walsingham),1989-07-01,Evippe laudatella (Wlsm.)
1769,59a1170.6,Agnippe laudatella (Walsingham),1989-07-15,Evippe laudatella (Wlsm.)
1769,59a1170.6,Agnippe laudatella (Walsingham),1989-08-02,Evippe laudatella (Wlsm.)
1769,59a1170.6,Agnippe laudatella (Walsingham),1989-08-28,Evippe laudatella (Wlsm.)
1769,59a1170.6,Agnippe laudatella (Walsingham),1989-09-15,Evippe laudatella (Wlsm.)
1786X,59a0704.9,Recurvaria n. sp.,1989-07-01,"Recurvaria ""glenax"" Hodges MS"
1786X,59a0704.9,Recurvaria n. sp.,1989-07-15,"Recurvaria ""glenax"" Hodges MS"
1786X,59a0704.9,Recurvaria n. sp.,1989-08-02,"Recurvaria ""glenax"" Hodges MS"
1786X,59a0704.9,Recurvaria n. sp.,1989-08-28,"Recurvaria ""glenax"" Hodges MS"
1833x,NA,Coleotechnites sp (host:  Heteromeles),1989-05-31,Coleotechnites sp (Heteromeles)
1833x,NA,Coleotechnites sp (host:  Heteromeles),1989-07-15,Coleotechnites sp (Heteromeles)
1833x,NA,Coleotechnites sp (host:  Heteromeles),1989-08-02,Coleotechnites sp (Heteromeles)
1838,59a0705.85,"""Exoteleia"" graphicella (Busck)",1989-07-01,Exotelia graphicella (Busck)
1849,59a0456,Leucogoniella distincta (Keifer),1989-07-15,Lecogoniella distincta (Keifer)
1849,59a0456,Leucogoniella distincta (Keifer),1989-08-02,Lecogoniella distincta (Keifer)
1849,59a0456,Leucogoniella distincta (Keifer),1989-08-28,Lecogoniella distincta (Keifer)
NA,NA,Leucogoniella californica or distincta,1989-06-16,Leucogoniella californica or distincta
NA,NA,Leucogoniella californica or distincta,1989-08-02,Leucogoniella californica or distincta
NA,NA,Leucogoniella californica or distincta,1989-08-28,Leucogoniella californica or distincta
NA,NA,Leucogoniella californica or distincta,1989-09-15,Leucogoniella californica or distincta
1859,59a0691.9,Telphusa sedulitella (Busck),1989-05-31,Telphusa sedulitella (Bsk.)
1859,59a0691.9,Telphusa sedulitella (Busck),1989-06-16,Telphusa sedulitella (Bsk.)
1859,59a0691.9,Telphusa sedulitella (Busck),1989-07-15,Telphusa sedulitella (Bsk.)
1859,59a0691.9,Telphusa sedulitella (Busck),1989-08-02,Telphusa sedulitella (Bsk.)
1859A,59a0691.99,"Telphusa sp. (larger, black)",1989-07-15,"Telphusa sp. (black, larger than sedulitella)"
1861,59a0802,Pseudochelaria manzanitae (Keifer),1989-08-02,Pseudochelaria manzanitae (Keif.)
1879,59a0792,Xenolechia querciphaga Keifer and/or similar species,1989-05-01,Xenolechia querciphaga Keif.
1879,59a0792,Xenolechia querciphaga Keifer and/or similar species,1989-05-31,Xenolechia querciphaga Keif.
1879,59a0792,Xenolechia querciphaga Keifer and/or similar species,1989-06-16,Xenolechia querciphaga Keif.
1880X,NA,"Xenolechia ""staspa"" Hodges MS.",1989-05-01,"Xenolechia ""staspa"" Hodges MS."
1880X,NA,"Xenolechia ""staspa"" Hodges MS.",1989-05-31,"Xenolechia ""staspa"" Hodges MS."
1882,59a0787.8,Teleiopsis baldiana (Barnes & Busck),1989-05-31,Teliopsis baldiana (B. & Bsk.)
1882,59a0787.8,Teleiopsis baldiana (Barnes & Busck),1989-06-16,Teliopsis baldiana (B. & Bsk.)
2017,59a1284,Scrobipalpula lutescella (Clarke),1989-05-01,Scrobipalpula lutescella (Clarke)
2017,59a1284,Scrobipalpula lutescella (Clarke),1989-07-01,Scrobipalpula lutescella (Clarke)
2047.1,59a1345,Keiferia elmorei (Keifer),1989-08-28,Keiferia elmorei Keifer
2047.1,59a1345,Keiferia elmorei (Keifer),1989-10-18,Keiferia elmorei Keifer
2053A,NA,gnorimoschemine sp. or spp.,1989-08-02,gnorimoschemine sp. or spp.
2053A,NA,gnorimoschemine sp. or spp.,1989-10-01,gnorimoschemine sp. or spp.
2053A,NA,gnorimoschemine sp. or spp.,1989-10-18,gnorimoschemine sp. or spp.
2065,59a1070,Chionodes braunella (Keifer),1989-09-15,Chionodes braunella (Keif.)
2085.1999999999998,59a0924,Chionodes johnstoni Clarke,1989-06-16,Chionodes johnstoni Clarke
2085.1999999999998,59a0924,Chionodes johnstoni Clarke,1989-08-02,Chionodes johnstoni Clarke
2109.1,59a0888,Chionodes powelli Hodges,1989-08-28,Chionodes powelli Hodges
2120,59a0974,Chionodes trichostola (Meyrick),1989-05-31,Chionodes trichostola (Meyr.)
2120,59a0974,Chionodes trichostola (Meyrick),1989-07-01,Chionodes trichostola (Meyr.)
2181A,NA,Filatima sp/spp. (brown & gray),1989-08-02,Filatima sp./spp. (brown and grey)
2181A,NA,Filatima sp/spp. (brown & gray),1989-08-28,Filatima sp./spp. (brown and grey)
2181A,NA,Filatima sp/spp. (brown & gray),1989-09-15,Filatima sp./spp. (brown and grey)
2208,59a1163,Mirificarma eburnella (Denis & Schiffenmüller),1989-05-01,Mirificarma eburnella (G. & S.)
2222A,59a0463.1,Aproaerema sp 1 (black),1989-07-15,"gelechiid sp. 1, small, black narrow wings"
2222A,59a0463.1,Aproaerema sp 1 (black),1989-08-02,"gelechiid sp. 1, small, black narrow wings"
2222A,59a0463.1,Aproaerema sp 1 (black),1989-10-18,"gelechiid sp. 1, small, black narrow wings"
2318,65a0010,Bondia comonana (Kearfott),1989-08-28,Bondia comonana (Kft.)
2351,36a0139,Euceratia castella Walsingham,1989-05-01,Euceratia castella Wlsm.
2366,36a0180,Plutella xylostella (Linnaeus),1989-10-18,Plutella xylostella (L.)
2372,36a0147,Ypsolopha cervella (Walsingham),1989-05-31,Ypsolopha cervella (Wlsm.)
2372,36a0147,Ypsolopha cervella (Walsingham),1989-06-16,Ypsolopha cervella (Wlsm.)
2372,36a0147,Ypsolopha cervella (Walsingham),1989-07-01,Ypsolopha cervella (Wlsm.)
2427,36a0129,Zelleria haimbachi Busck,1989-05-31,Zelleria haimbachi Bsk.
2432,36a0133,Zelleria semitincta Meyrick,1989-05-31,Zelleria ?semitincta Meyr.
2432,36a0133,Zelleria semitincta Meyrick,1989-07-15,Zelleria ?semitincta Meyr.
2432,36a0133,Zelleria semitincta Meyrick,1989-08-02,Zelleria ?semitincta Meyr.
2432,36a0133,Zelleria semitincta Meyrick,1989-09-15,Zelleria ?semitincta Meyr.
2707,51a0478,Bactra verutana Zeller,1989-10-01,Bactra verutana Zell.
2707,51a0478,Bactra verutana Zeller,1989-10-18,Bactra verutana Zell.
2896,51a0725,Retinia sabiniana (Kearfott),1989-05-01,Petrova sabiniana (Kft.)
3060,51a0999.1,Pelochrista subflavana (Walsingham),1989-07-01,Eucosma subflavana (Wlsm.)
3107,51a1004.1,Pelochrista biplagata (Walsingham),1989-10-18,Eucosma biplagata (Wlsm.)
3141,51a0955.1,Pelochrista canana (Walsingham),1989-05-01,Pelochrista (?)metariana (Heinrich)
3141,51a0955.1,Pelochrista canana (Walsingham),1989-05-31,Pelochrista (?)metariana (Heinrich)
3389,51a0679,Hystrichophora leonana Walsingham,1989-05-01,Hystrichophora leonana Wlsm.
3389,51a0679,Hystrichophora leonana Walsingham,1989-05-31,Hystrichophora leonana Wlsm.
3389,51a0679,Hystrichophora leonana Walsingham,1989-06-16,Hystrichophora leonana Wlsm.
3389,51a0679,Hystrichophora leonana Walsingham,1989-07-01,Hystrichophora leonana Wlsm.
3494,51a1383,Cydia latiferreana (Walsingham),1989-06-16,Cydia latiferreana (Wlsm.)
3494,51a1383,Cydia latiferreana (Walsingham),1989-07-01,Cydia latiferreana (Wlsm.)
3494,51a1383,Cydia latiferreana (Walsingham),1989-07-15,Cydia latiferreana (Wlsm.)
3494,51a1383,Cydia latiferreana (Walsingham),1989-08-02,Cydia latiferreana (Wlsm.)
3494,51a1383,Cydia latiferreana (Walsingham),1989-08-28,Cydia latiferreana (Wlsm.)
3494,51a1383,Cydia latiferreana (Walsingham),1989-09-15,Cydia latiferreana (Wlsm.)
3573,51a0072,Decodes basiplagana (Walsingham),1989-10-18,Decodes basiplaganus (Wlsm.)
3574,51a0073,Decodes fragariana (Busck),1989-10-01,Decodes fragarianus (Bsk.)
3574,51a0073,Decodes fragariana (Busck),1989-10-18,Decodes fragarianus (Bsk.)
3648,51a0323,Archips argyrospila (Walker),1989-05-01,Archips argyrospila columbiana (McD.)
3648,51a0323,Archips argyrospila (Walker),1989-05-31,Archips argyrospila columbiana (McD.)
3714,51a0406,Sparganothis senecionana (Walsingham),1989-05-31,Sparganothis senecionana (Wlsm.)
3714,51a0406,Sparganothis senecionana (Walsingham),1989-06-16,Sparganothis senecionana (Wlsm.)
3736,51a0449,Platynota stultana Walsingham,1989-04-12,Platynota stultana Wlsm.
3749,51a0373,Amorbia cuneanum (Walsingham),1989-08-02,Amorbia cuneana (Wlsm.)
3749,51a0373,Amorbia cuneanum (Walsingham),1989-08-28,Amorbia cuneana (Wlsm.)
3749,51a0373,Amorbia cuneanum (Walsingham),1989-10-01,Amorbia cuneana (Wlsm.)
3749,51a0373,Amorbia cuneanum (Walsingham),1989-10-18,Amorbia cuneana (Wlsm.)
3768A,NA,Saphenista sp. #1,1989-06-16,Saphenista sp. #1
3768A,NA,Saphenista sp. #1,1989-07-01,Saphenista sp. #1
4711,80a1364,Scoparia palloralis Dyar or similar species,1989-05-31,Scoparia poss. palloralis Dyar
4722,80a1375,Eudonia rectilinea (Zeller),1989-05-31,Eudonia rectilinea (Zell.)
4722,80a1375,Eudonia rectilinea (Zeller),1989-06-16,Eudonia rectilinea (Zell.)
4730,80a1383,Eudonia spenceri Munroe,1989-06-16,Eudonia spenceri Munroe
4730,80a1383,Eudonia spenceri Munroe,1989-07-01,Eudonia spenceri Munroe
4735a,80a1388b,Eudonia echo gartrelli Munroe,1989-09-15,Eudonia echo gartrelli Munr.
4735a,80a1388b,Eudonia echo gartrelli Munroe,1989-10-01,Eudonia echo gartrelli Munr.
4735a,80a1388b,Eudonia echo gartrelli Munroe,1989-10-18,Eudonia echo gartrelli Munr.
4775,80a1341,Petrophila jaliscalis (Schaus),1989-08-02,Petrophila jaliscalis (Schauss)
4775,80a1341,Petrophila jaliscalis (Schaus),1989-08-28,Petrophila jaliscalis (Schauss)
4780,80a1346,Petrophila confusalis (Walker),1989-08-02,Petrophila confusalis (Wlk.)
NA,NA,Petrophila jalicalis or confusalis (not det.),1989-10-18,Petrophila confusalis or jaliscalis (undetermined)
4846,80a1169,Hellula rogatalis (Hulst),1989-08-02,Hellula rogetalis (Hulst)
4846,80a1169,Hellula rogatalis (Hulst),1989-08-28,Hellula rogetalis (Hulst)
4846,80a1169,Hellula rogatalis (Hulst),1989-10-01,Hellula rogetalis (Hulst)
5019,80a0787,Pyrausta nexalis (Hulst),1989-07-15,Pyrausta nexalis (Hulst)
5019,80a0787,Pyrausta nexalis (Hulst),1989-08-28,Pyrausta nexalis (Hulst)
5030,80a0798,Pyrausta morenalis (Dyar),1989-05-01,Pyrausta ?morenalis (Dyar)
5052,80a0820,Pyrausta californicalis (Packard),1989-06-16,Pyrausta californicalis (Packard)
5052,80a0820,Pyrausta californicalis (Packard),1989-08-28,Pyrausta californicalis (Packard)
5080,80a0878,Udea profundalis (Packard),1989-05-31,Udea profundalis Pack.
5080,80a0878,Udea profundalis (Packard),1989-08-02,Udea profundalis Pack.
5080,80a0878,Udea profundalis (Packard),1989-09-15,Udea profundalis Pack.
5080,80a0878,Udea profundalis (Packard),1989-10-18,Udea profundalis Pack.
5107,80a0904,Lineodes integra (Zeller),1989-08-02,Lineodes integra (Zell.)
5129,80a0852,Choristostigma zephyralis (Barnes & McDunnough),1989-05-01,Choristostigma zephyralis (B. & McD.)
5132,80a0855,Choristostigma elegantalis Warren,1989-05-01,Choristostigma elegantalis Warr.
5132,80a0855,Choristostigma elegantalis Warren,1989-05-31,Choristostigma elegantalis Warr.
5137,80a1089,Mecyna mustelinalis (Packard),1989-05-01,Mecyna mustelinalis (Pack.)
5139,80a1092,Mimorista subcostalis (Hampson),1989-07-15,Mimorista subcostalis (Hamp.)
5139,80a1092,Mimorista subcostalis (Hampson),1989-08-02,Mimorista subcostalis (Hamp.)
5139,80a1092,Mimorista subcostalis (Hampson),1989-08-28,Mimorista subcostalis (Hamp.)
5256,80a0918,Diastictus fracturalis (Zeller),1989-08-28,Diastictus fraturalis (Zell.)
5370,80a1580,Crambus sperryellus Klots,1989-05-01,Crambus sperryellus Klots
5370,80a1580,Crambus sperryellus Klots,1989-10-01,Crambus sperryellus Klots
5370,80a1580,Crambus sperryellus Klots,1989-10-18,Crambus sperryellus Klots
NA,NA,Euchromius ocellea or californicalis (not identified),1989-08-28,Euchromius californicalis (Pack.)
5515A,NA,Pyralinae (Pyralis?),1989-10-01,Pyralinae (Pyralis?)
5567,80a0032,Arta epicoenalis Ragonot,1989-05-31,Arta epicoenalis Rag.
5567,80a0032,Arta epicoenalis Ragonot,1989-06-16,Arta epicoenalis Rag.
5567,80a0032,Arta epicoenalis Ragonot,1989-07-01,Arta epicoenalis Rag.
5585,80a0627,Toripalpus trabalis Grote,1989-08-02,Epipauschinae (Jocara?)
5655,80a0076,Acrobasis tricolorella Grote,1989-06-16,Acrobasis tricolorella Grote
5655,80a0076,Acrobasis tricolorella Grote,1989-07-01,Acrobasis tricolorella Grote
5655,80a0076,Acrobasis tricolorella Grote,1989-07-15,Acrobasis tricolorella Grote
5655,80a0076,Acrobasis tricolorella Grote,1989-08-02,Acrobasis tricolorella Grote
5655,80a0076,Acrobasis tricolorella Grote,1989-08-28,Acrobasis tricolorella Grote
5655,80a0076,Acrobasis tricolorella Grote,1989-10-18,Acrobasis tricolorella Grote
5656,80a0077,Acrobasis comptella Ragonot,1989-07-01,Acrobasis comptella Rag.
5656,80a0077,Acrobasis comptella Ragonot,1989-07-15,Acrobasis comptella Rag.
5656,80a0077,Acrobasis comptella Ragonot,1989-08-02,Acrobasis comptella Rag.
5656,80a0077,Acrobasis comptella Ragonot,1989-08-28,Acrobasis comptella Rag.
5695,80a0112,Acrobasis caliginella (Hulst),1989-07-01,Trachycera caliginella (Hulst)
5724,80a0137,Amyelois transitella (Walker),1989-08-28,Amyelois transitella (Wlk.)
5724,80a0137,Amyelois transitella (Walker),1989-10-18,Amyelois transitella (Wlk.)
5744,80a0447,Etiella zinckenella (Treitschke),1989-08-28,Etiella zinckenella (Tr.)
5747.1,80a0205,Pima occidentalis Heinrich,1989-05-01,Pima albiplagiatella occidentalis Heinr.
5777.1,80a0257,Quasisalebria occidentalis (Neunzig),1989-06-16,Quasisalebriaria occidentalis Neunzig
5817,80a0305,Phobus incertus Heinrich,1989-05-31,Phobus incertus Heinr.
NA,NA,"Phobus or Telethusia (one of the four species above, not identified)",1989-07-01,Phobus/Telethusia (unident.)
NA,NA,"Phobus or Telethusia (one of the four species above, not identified)",1989-07-15,Phobus/Telethusia (unident.)
5846,80a0336,Dioryctria auranticella (Grote),1989-07-01,Dioryctria auranticella (Grote)
5935,80a0548,Homoeosoma electella (Hulst),1989-08-02,Homeosoma electellum (Hulst)
5935,80a0548,Homoeosoma electella (Hulst),1989-08-28,Homeosoma electellum (Hulst)
5935,80a0548,Homoeosoma electella (Hulst),1989-09-15,Homeosoma electellum (Hulst)
5935,80a0548,Homoeosoma electella (Hulst),1989-10-01,Homeosoma electellum (Hulst)
5935,80a0548,Homoeosoma electella (Hulst),1989-10-18,Homeosoma electellum (Hulst)
5946.1,80a0571,Phycitodes mucidella (Ragonot),1989-05-01,Phycitodes albatella mucidella (Rag.)
5946.1,80a0571,Phycitodes mucidella (Ragonot),1989-05-31,Phycitodes albatella mucidella (Rag.)
5946.1,80a0571,Phycitodes mucidella (Ragonot),1989-07-01,Phycitodes albatella mucidella (Rag.)
5946.1,80a0571,Phycitodes mucidella (Ragonot),1989-07-15,Phycitodes albatella mucidella (Rag.)
5946.1,80a0571,Phycitodes mucidella (Ragonot),1989-08-02,Phycitodes albatella mucidella (Rag.)
5946.1,80a0571,Phycitodes mucidella (Ragonot),1989-09-15,Phycitodes albatella mucidella (Rag.)
5946.1,80a0571,Phycitodes mucidella (Ragonot),1989-10-18,Phycitodes albatella mucidella (Rag.)
5966,80a0536,Rhagea packardella (Ragonot),1989-05-31,Rhagea packardella (Rag.)
5995,80a0138,Euzophera semifuneralis (Walker),1989-05-31,Euzophera semifuneralis (Wlk.)
5995,80a0138,Euzophera semifuneralis (Walker),1989-07-01,Euzophera semifuneralis (Wlk.)
5995,80a0138,Euzophera semifuneralis (Walker),1989-07-15,Euzophera semifuneralis (Wlk.)
5995,80a0138,Euzophera semifuneralis (Walker),1989-08-02,Euzophera semifuneralis (Wlk.)
5995,80a0138,Euzophera semifuneralis (Walker),1989-08-28,Euzophera semifuneralis (Wlk.)
5995,80a0138,Euzophera semifuneralis (Walker),1989-10-01,Euzophera semifuneralis (Wlk.)
5995,80a0138,Euzophera semifuneralis (Walker),1989-10-18,Euzophera semifuneralis (Wlk.)
6000,80a0146,Ephestiodes gilvescentella Ragonot,1989-05-01,Ephestiodes gilvescentella Rag.
6000,80a0146,Ephestiodes gilvescentella Ragonot,1989-05-31,Ephestiodes gilvescentella Rag.
6000,80a0146,Ephestiodes gilvescentella Ragonot,1989-06-16,Ephestiodes gilvescentella Rag.
6000,80a0146,Ephestiodes gilvescentella Ragonot,1989-07-01,Ephestiodes gilvescentella Rag.
6000,80a0146,Ephestiodes gilvescentella Ragonot,1989-07-15,Ephestiodes gilvescentella Rag.
6000,80a0146,Ephestiodes gilvescentella Ragonot,1989-08-02,Ephestiodes gilvescentella Rag.
6000,80a0146,Ephestiodes gilvescentella Ragonot,1989-08-28,Ephestiodes gilvescentella Rag.
6000,80a0146,Ephestiodes gilvescentella Ragonot,1989-10-01,Ephestiodes gilvescentella Rag.
6000,80a0146,Ephestiodes gilvescentella Ragonot,1989-10-18,Ephestiodes gilvescentella Rag.
6002,80a0150,Ephestiodes erythrella Ragonot,1989-06-16,Ephestiodes erythrella Rag.
6002,80a0150,Ephestiodes erythrella Ragonot,1989-07-01,Ephestiodes erythrella Rag.
6007.1,80a0164,Vitula serratilineella Ragonot,1989-05-01,Vitula edmandsii bombylicolella Amsel
6007.1,80a0164,Vitula serratilineella Ragonot,1989-07-15,Vitula edmandsii bombylicolella Amsel
6017,80a0174,Sosipatra thurberiae (Dyar),1989-08-02,Sosipatra thurberiae Dyar
6020,80a0183,Ephestia kuehniella Zeller,1989-07-15,Ephestia kuehniella Zeller
6109,63a0005,Platyptilia carduidactylus (Riley),1989-06-16,Platyptilia carduidactyla (Riley)
6129,63a0032,Paraplatyptilia baueri (Lange),1989-05-01,Stenoptilodes baueri (Lange)
6234,63a0150,Emmelina monodactyla (Linnaeus),1989-04-12,Emmelina monodactyla (L.)
6234,63a0150,Emmelina monodactyla (Linnaeus),1989-05-01,Emmelina monodactyla (L.)
6234,63a0150,Emmelina monodactyla (Linnaeus),1989-06-16,Emmelina monodactyla (L.)
6234,63a0150,Emmelina monodactyla (Linnaeus),1989-07-01,Emmelina monodactyla (L.)
6338,91a0760,Macaria adonis Barnes & McDunnough,1989-10-01,Semiothisa adonis (B. & McD.)
6377,91a0800,Digrammia muscariata (Guenée),1989-05-01,Semiothisa respersata (Hulst)
6389.1,91a0810,Digrammia plemmelata Ferguson,1989-04-12,Semiothisa arubrescens McDunnough
6389.1,91a0810,Digrammia plemmelata Ferguson,1989-05-01,Semiothisa arubrescens McDunnough
6682,91a1092,Drepanulatrix unicalcararia (Guenée),1989-04-12,Drepanulatrix unicalcaria (Gn.)
